id	status	title	description	depends_on	owner	created_at	updated_at	completed_at	refs	acceptance_criteria
T-001	done	Add pre-commit skill-sync hook	Update the root pre-commit config so it enforces `python3 tools/skills/sync_selected_skills.py --check` and matches the README.		codex	2026-03-12T20:54:26Z	2026-03-12T20:56:29Z	2026-03-12T20:56:29Z	.pre-commit-config.yaml|README.md	- [x] Pre-commit runs the selected-skill sync check | - [x] README and pre-commit behavior match
T-002	done	Expand PR workflow path coverage	Update the PR review workflow path filters so root docs such as `README.md` and `CONTRIBUTING.md` trigger validation and review.		codex	2026-03-12T20:54:26Z	2026-03-13T14:30:38Z	2026-03-13T14:30:38Z	.github/workflows/repo-pr-review.yml|README.md|CONTRIBUTING.md	- [x] Root docs changes trigger the workflow | - [x] Workflow scope matches repo reality
T-003	done	Split validation from AI PR review	Create a dedicated validation workflow for push and pull_request status checks, leaving AI review as a separate PR-focused workflow.		codex	2026-03-12T20:54:26Z	2026-03-17T13:51:31Z	2026-03-17T13:51:31Z	.github/workflows/repo-pr-review.yml|.github/workflows/repo-validation.yml|README.md	- [x] Deterministic validation runs on default-branch pushes | - [x] README badges and workflow purpose are clearer
T-004	done	Add contribution templates	Add lightweight GitHub pull request and issue templates that fit the repo's current informal contribution process.		codex	2026-03-12T20:54:26Z	2026-03-17T14:30:13Z	2026-03-17T14:30:13Z	.github/pull_request_template.md|.github/ISSUE_TEMPLATE/change-proposal.md|CONTRIBUTING.md	- [x] PR template exists | - [x] At least one issue template exists | - [x] Templates match the current contribution style
T-005	done	Fix Gemini action auth input	Update the Gemini CLI workflow step to use the correct `gemini_api_key` action input so the configured repository secret is actually passed through.		codex	2026-03-13T12:41:57Z	2026-03-13T12:41:57Z	2026-03-13T12:41:57Z	.github/workflows/repo-pr-review.yml	- [x] Workflow uses the correct action input name | - [x] Gemini CLI can receive the configured repository secret
T-006	done	Replace Gemini action wrapper	Replace the unsupported Gemini GitHub Action wrapper usage with an explicit CLI run that reads the generated prompt file and posts the result to the PR separately.		codex	2026-03-13T13:18:14Z	2026-03-13T13:18:14Z	2026-03-13T13:18:14Z	.github/workflows/repo-pr-review.yml|.github/prompts/generated-repo-pr-review.md	- [x] Workflow reads the generated prompt file directly | - [x] Gemini output is summarized and posted separately to the PR | - [x] Runner creates the Gemini state directory before invoking the CLI
T-007	done	Define stack doc and skill split	Document the chosen pattern: stack skills are the primary deep agent-facing source, `skills/<stack>/references/` holds specifics, stack agent files stay thin, and stack spec docs define project-template conventions while remaining standalone.		codex	2026-03-17T12:12:45Z	2026-03-17T12:56:05Z	2026-03-17T12:48:58Z	stack-docs-and-skills-split.md|skills/|specs/common/docs/	- [x] Canonical responsibilities for docs, skills, and AGENTS files are documented | - [x] Required file layout and naming conventions are defined | - [x] Rollout constraints for standalone copied templates are explicit
T-008	done	Refactor Next.js stack to skill-first guidance	Create a single repo-owned `nextjs` skill with deep references, slim the Next.js agent instruction triplet into routing and always-hot guardrails, and reduce `specs/nextjs/docs/` to concise standalone project guidance.	T-007	codex	2026-03-17T12:12:45Z	2026-03-17T13:07:48Z	2026-03-17T13:06:22Z	specs/nextjs/AGENTS.md|specs/nextjs/CLAUDE.md|specs/nextjs/GEMINI.md|specs/nextjs/docs/|skills/nextjs/	- [x] `skills/nextjs/SKILL.md` defines trigger rules, workflow, and targeted reference loading | - [x] `skills/nextjs/references/` covers the deep Next.js specifics needed for implementation and review | - [x] `specs/nextjs` agent files route to the skill and keep only minimal always-hot rules | - [x] `specs/nextjs/docs/` remains useful as a standalone, thinner template doc set
T-009	pending	Refactor Python stack to skill-first guidance	Create a single repo-owned `python` skill with deep references, slim the Python agent instruction triplet into routing and always-hot guardrails, and reduce `specs/python/docs/` to concise standalone project guidance.	T-007	codex	2026-03-17T12:12:45Z	2026-03-17T12:48:58Z		specs/python/AGENTS.md|specs/python/CLAUDE.md|specs/python/GEMINI.md|specs/python/docs/|skills/python/	- [ ] `skills/python/SKILL.md` defines trigger rules, workflow, and targeted reference loading | - [ ] `skills/python/references/` covers the deep Python specifics needed for implementation and review | - [ ] `specs/python` agent files route to the skill and keep only minimal always-hot rules | - [ ] `specs/python/docs/` remains useful as a standalone, thinner template doc set
T-010	pending	Refactor TypeScript stack to skill-first guidance	Create a single repo-owned `typescript` skill with deep references, slim the TypeScript agent instruction triplet into routing and always-hot guardrails, and reduce `specs/typescript/docs/` to concise standalone project guidance.	T-007	codex	2026-03-17T12:12:45Z	2026-03-17T12:48:58Z		specs/typescript/AGENTS.md|specs/typescript/CLAUDE.md|specs/typescript/GEMINI.md|specs/typescript/docs/|skills/typescript/	- [ ] `skills/typescript/SKILL.md` defines trigger rules, workflow, and targeted reference loading | - [ ] `skills/typescript/references/` covers the deep TypeScript specifics needed for implementation and review | - [ ] `specs/typescript` agent files route to the skill and keep only minimal always-hot rules | - [ ] `specs/typescript/docs/` remains useful as a standalone, thinner template doc set
T-011	pending	Refactor Power BI stack to skill-first guidance	Create a single repo-owned `powerbi` skill with deep references, slim the Power BI agent instruction triplet into routing and always-hot guardrails, and reduce `specs/powerbi/docs/` to concise standalone project guidance.	T-007	codex	2026-03-17T12:12:45Z	2026-03-17T12:48:58Z		specs/powerbi/AGENTS.md|specs/powerbi/CLAUDE.md|specs/powerbi/GEMINI.md|specs/powerbi/docs/|skills/powerbi/	- [ ] `skills/powerbi/SKILL.md` defines trigger rules, workflow, and targeted reference loading | - [ ] `skills/powerbi/references/` covers the deep Power BI specifics needed for implementation and review | - [ ] `specs/powerbi` agent files route to the skill and keep only minimal always-hot rules | - [ ] `specs/powerbi/docs/` remains useful as a standalone, thinner template doc set
T-012	pending	Validate stack skill rollout and standalone templates	Validate the new stack skills, keep selected-skill mirroring aligned, and confirm each stack spec remains coherent and safe when copied without repo-local skills.	T-008, T-009, T-010, T-011	codex	2026-03-17T12:12:45Z	2026-03-17T12:48:58Z		.agents/skills/selected-skills.txt|tools/skills/|tools/agent_docs/validate_agent_files.py|tools/template_checks/validate_templates.py|specs/|skills/	- [ ] Repo-owned stack skills are selected and mirrored consistently when introduced | - [ ] Agent file and template validators pass after the rollout | - [ ] Each stack spec remains understandable and safe as a standalone template without repo-local skills
